Station Name,Latitude,Longitude
Botanic Garden,1.3087,103.818
Bukit Panjang,1.3823,103.7607
Bukit Timah,1.3191,103.8193
Buona Vista,1.2841,103.7888
Choa Chu Kang (Central),1.3821,103.7381
Jurong Pier,1.3082,103.71
Kent Ridge,1.2923,103.7815
Kranji Reservoir,1.4387,103.736
Lim Chu Kang,1.4388,103.7017
Lower Peirce Reservoir,1.37,103.8271
Macritchie Reservoir,1.3418,103.8339
Mandai,1.4067,103.7832
Marine Parade,1.305,103.9112
Nicoll Highway,1.295,103.8622
Pasir Ris (West),1.3865,103.9413
Pasir Ris Central,1.3679,103.9489
Punggol,1.4028,103.9095
Queenstown,1.2937,103.8127
Serangoon,1.3377,103.8662
Simei,1.3443,103.9441
Somerset (Road),1.3003,103.8372
Tanjong Katong,1.307,103.8907
Toa Payoh,1.3417,103.8515
Tuas,1.3199,103.6613
Ulu Pandan,1.3325,103.755
Upper Peirce Reservoir,1.3704,103.8046
Whampoa,1.3214,103.8577
