"Station","MonthYear","MonthlyRain","Latitude","Longitude"
"Admiralty",2018-01-01,223.6,1.4439,103.7854
"Admiralty",2018-02-01,79.6,1.4439,103.7854
"Admiralty",2018-03-01,73.8,1.4439,103.7854
"Admiralty",2018-04-01,244.6,1.4439,103.7854
"Admiralty",2018-05-01,248.8,1.4439,103.7854
"Admiralty",2018-06-01,161.8,1.4439,103.7854
"Admiralty",2018-07-01,120.4,1.4439,103.7854
"Admiralty",2018-08-01,71.2,1.4439,103.7854
"Admiralty",2018-09-01,180.6,1.4439,103.7854
"Admiralty",2018-10-01,253.8,1.4439,103.7854
"Admiralty",2018-11-01,307.7,1.4439,103.7854
"Admiralty",2018-12-01,245.8,1.4439,103.7854
"Admiralty",2019-01-01,106.8,1.4439,103.7854
"Admiralty",2019-02-01,114.2,1.4439,103.7854
"Admiralty",2019-03-01,209.8,1.4439,103.7854
"Admiralty",2019-04-01,188.2,1.4439,103.7854
"Admiralty",2019-05-01,144.4,1.4439,103.7854
"Admiralty",2019-06-01,132.6,1.4439,103.7854
"Admiralty",2019-07-01,141.4,1.4439,103.7854
"Admiralty",2019-08-01,56.8,1.4439,103.7854
"Admiralty",2019-09-01,113.8,1.4439,103.7854
"Admiralty",2019-10-01,217.6,1.4439,103.7854
"Admiralty",2019-11-01,242,1.4439,103.7854
"Admiralty",2019-12-01,301.8,1.4439,103.7854
"Admiralty",2020-01-01,135.6,1.4439,103.7854
"Admiralty",2020-02-01,72.4,1.4439,103.7854
"Admiralty",2020-03-01,182,1.4439,103.7854
"Admiralty",2020-04-01,200.4,1.4439,103.7854
"Admiralty",2020-05-01,157,1.4439,103.7854
"Admiralty",2020-06-01,135.2,1.4439,103.7854
"Admiralty",2020-07-01,215,1.4439,103.7854
"Admiralty",2020-08-01,111.2,1.4439,103.7854
"Admiralty",2020-09-01,252.8,1.4439,103.7854
"Admiralty",2020-10-01,142,1.4439,103.7854
"Admiralty",2020-11-01,316,1.4439,103.7854
"Admiralty",2020-12-01,171.8,1.4439,103.7854
"Admiralty",2021-01-01,409.6,1.4439,103.7854
"Admiralty",2021-02-01,40.2,1.4439,103.7854
"Admiralty",2021-03-01,154.2,1.4439,103.7854
"Admiralty",2021-04-01,285,1.4439,103.7854
"Admiralty",2021-05-01,71,1.4439,103.7854
