"Station","Date","Daily.Rainfall.Total..mm.","Longitude","Latitude"
"Botanic Garden",2018-01-01,41.6,103.818,1.3087
"Botanic Garden",2018-01-02,23.4,103.818,1.3087
"Botanic Garden",2018-01-03,25.2,103.818,1.3087
"Botanic Garden",2018-01-04,0.4,103.818,1.3087
"Botanic Garden",2018-01-05,30,103.818,1.3087
"Botanic Garden",2018-01-06,0,103.818,1.3087
"Botanic Garden",2018-01-07,1.6,103.818,1.3087
"Botanic Garden",2018-01-08,33.4,103.818,1.3087
"Botanic Garden",2018-01-09,49.8,103.818,1.3087
"Botanic Garden",2018-01-10,20.4,103.818,1.3087
"Botanic Garden",2018-01-11,15.2,103.818,1.3087
"Botanic Garden",2018-01-12,8.4,103.818,1.3087
"Botanic Garden",2018-01-13,15,103.818,1.3087
"Botanic Garden",2018-01-14,8,103.818,1.3087
"Botanic Garden",2018-01-15,0.6,103.818,1.3087
"Botanic Garden",2018-01-16,0,103.818,1.3087
"Botanic Garden",2018-01-17,0,103.818,1.3087
"Botanic Garden",2018-01-18,0.2,103.818,1.3087
"Botanic Garden",2018-01-19,18.8,103.818,1.3087
"Botanic Garden",2018-01-20,5.8,103.818,1.3087
"Botanic Garden",2018-01-21,0.2,103.818,1.3087
"Botanic Garden",2018-01-22,0.4,103.818,1.3087
"Botanic Garden",2018-01-23,9.2,103.818,1.3087
"Botanic Garden",2018-01-24,32,103.818,1.3087
"Botanic Garden",2018-01-25,0.4,103.818,1.3087
"Botanic Garden",2018-01-26,48.6,103.818,1.3087
"Botanic Garden",2018-01-27,0,103.818,1.3087
"Botanic Garden",2018-01-28,10.4,103.818,1.3087
"Botanic Garden",2018-01-29,0,103.818,1.3087
"Botanic Garden",2018-01-30,2.2,103.818,1.3087
"Botanic Garden",2018-01-31,2.6,103.818,1.3087
"Botanic Garden",2018-02-01,6,103.818,1.3087
"Botanic Garden",2018-02-02,1.4,103.818,1.3087
"Botanic Garden",2018-02-03,0.2,103.818,1.3087
"Botanic Garden",2018-02-04,1.2,103.818,1.3087
"Botanic Garden",2018-02-05,0,103.818,1.3087
"Botanic Garden",2018-02-06,0,103.818,1.3087
"Botanic Garden",2018-02-07,0,103.818,1.3087
"Botanic Garden",2018-02-08,0,103.818,1.3087
"Botanic Garden",2018-02-09,0,103.818,1.3087
"Botanic Garden",2018-02-10,0,103.818,1.3087
"Botanic Garden",2018-02-11,0,103.818,1.3087
"Botanic Garden",2018-02-12,0,103.818,1.3087
"Botanic Garden",2018-02-13,0,103.818,1.3087
"Botanic Garden",2018-02-14,0,103.818,1.3087
"Botanic Garden",2018-02-15,0,103.818,1.3087
"Botanic Garden",2018-02-16,0,103.818,1.3087
"Botanic Garden",2018-02-17,0,103.818,1.3087
"Botanic Garden",2018-02-18,0,103.818,1.3087
"Botanic Garden",2018-02-19,0,103.818,1.3087
"Botanic Garden",2018-02-20,0,103.818,1.3087
"Botanic Garden",2018-02-21,0,103.818,1.3087
"Botanic Garden",2018-02-22,0,103.818,1.3087
"Botanic Garden",2018-02-23,13.2,103.818,1.3087
"Botanic Garden",2018-02-24,0.2,103.818,1.3087
"Botanic Garden",2018-02-25,0,103.818,1.3087
"Botanic Garden",2018-02-26,0,103.818,1.3087
"Botanic Garden",2018-02-27,0,103.818,1.3087
"Botanic Garden",2018-02-28,0,103.818,1.3087
"Botanic Garden",2018-03-01,0,103.818,1.3087
"Botanic Garden",2018-03-02,12.4,103.818,1.3087
"Botanic Garden",2018-03-03,0,103.818,1.3087
"Botanic Garden",2018-03-04,30.6,103.818,1.3087
"Botanic Garden",2018-03-05,0,103.818,1.3087
"Botanic Garden",2018-03-06,0,103.818,1.3087
"Botanic Garden",2018-03-07,5.6,103.818,1.3087
"Botanic Garden",2018-03-08,0,103.818,1.3087
"Botanic Garden",2018-03-09,0,103.818,1.3087
"Botanic Garden",2018-03-10,2.2,103.818,1.3087
"Botanic Garden",2018-03-11,0,103.818,1.3087
"Botanic Garden",2018-03-12,11,103.818,1.3087
"Botanic Garden",2018-03-13,0,103.818,1.3087
"Botanic Garden",2018-03-14,0,103.818,1.3087
"Botanic Garden",2018-03-15,0,103.818,1.3087
"Botanic Garden",2018-03-16,14.6,103.818,1.3087
"Botanic Garden",2018-03-17,0,103.818,1.3087
"Botanic Garden",2018-03-18,0,103.818,1.3087
"Botanic Garden",2018-03-19,7.2,103.818,1.3087
"Botanic Garden",2018-03-20,45.6,103.818,1.3087
"Botanic Garden",2018-03-21,0.2,103.818,1.3087
"Botanic Garden",2018-03-22,0,103.818,1.3087
"Botanic Garden",2018-03-23,0,103.818,1.3087
"Botanic Garden",2018-03-24,58.6,103.818,1.3087
"Botanic Garden",2018-03-25,2,103.818,1.3087
"Botanic Garden",2018-03-26,27,103.818,1.3087
"Botanic Garden",2018-03-27,2.8,103.818,1.3087
"Botanic Garden",2018-03-28,0.6,103.818,1.3087
"Botanic Garden",2018-03-29,0,103.818,1.3087
"Botanic Garden",2018-03-30,1.6,103.818,1.3087
"Botanic Garden",2018-03-31,0,103.818,1.3087
"Botanic Garden",2018-04-01,18.8,103.818,1.3087
"Botanic Garden",2018-04-02,2,103.818,1.3087
"Botanic Garden",2018-04-03,0,103.818,1.3087
"Botanic Garden",2018-04-04,0,103.818,1.3087
"Botanic Garden",2018-04-05,0,103.818,1.3087
"Botanic Garden",2018-04-06,0,103.818,1.3087
"Botanic Garden",2018-04-07,4.6,103.818,1.3087
"Botanic Garden",2018-04-08,0,103.818,1.3087
"Botanic Garden",2018-04-09,0,103.818,1.3087
"Botanic Garden",2018-04-10,0,103.818,1.3087
"Botanic Garden",2018-04-11,0,103.818,1.3087
"Botanic Garden",2018-04-12,0,103.818,1.3087
"Botanic Garden",2018-04-13,0,103.818,1.3087
"Botanic Garden",2018-04-14,29.6,103.818,1.3087
"Botanic Garden",2018-04-15,18.2,103.818,1.3087
"Botanic Garden",2018-04-16,0.8,103.818,1.3087
"Botanic Garden",2018-04-17,0.8,103.818,1.3087
"Botanic Garden",2018-04-18,0,103.818,1.3087
"Botanic Garden",2018-04-19,30.8,103.818,1.3087
"Botanic Garden",2018-04-20,30.4,103.818,1.3087
"Botanic Garden",2018-04-21,0.8,103.818,1.3087
"Botanic Garden",2018-04-22,9.6,103.818,1.3087
"Botanic Garden",2018-04-23,42.4,103.818,1.3087
"Botanic Garden",2018-04-24,15.6,103.818,1.3087
"Botanic Garden",2018-04-25,0,103.818,1.3087
"Botanic Garden",2018-04-26,2.8,103.818,1.3087
"Botanic Garden",2018-04-27,21.4,103.818,1.3087
"Botanic Garden",2018-04-28,0,103.818,1.3087
"Botanic Garden",2018-04-29,0,103.818,1.3087
"Botanic Garden",2018-04-30,0,103.818,1.3087
"Botanic Garden",2018-05-01,16.6,103.818,1.3087
"Botanic Garden",2018-05-02,3.6,103.818,1.3087
"Botanic Garden",2018-05-03,10.4,103.818,1.3087
"Botanic Garden",2018-05-04,0,103.818,1.3087
"Botanic Garden",2018-05-05,0,103.818,1.3087
"Botanic Garden",2018-05-06,0,103.818,1.3087
"Botanic Garden",2018-05-07,0,103.818,1.3087
"Botanic Garden",2018-05-08,0,103.818,1.3087
"Botanic Garden",2018-05-09,0,103.818,1.3087
"Botanic Garden",2018-05-10,0,103.818,1.3087
"Botanic Garden",2018-05-11,0.2,103.818,1.3087
"Botanic Garden",2018-05-12,0,103.818,1.3087
"Botanic Garden",2018-05-13,1.6,103.818,1.3087
"Botanic Garden",2018-05-14,12,103.818,1.3087
"Botanic Garden",2018-05-15,5.8,103.818,1.3087
"Botanic Garden",2018-05-16,0.4,103.818,1.3087
"Botanic Garden",2018-05-17,0,103.818,1.3087
"Botanic Garden",2018-05-18,1.2,103.818,1.3087
"Botanic Garden",2018-05-19,18.4,103.818,1.3087
"Botanic Garden",2018-05-20,35.6,103.818,1.3087
"Botanic Garden",2018-05-21,0,103.818,1.3087
"Botanic Garden",2018-05-22,1.6,103.818,1.3087
"Botanic Garden",2018-05-23,9,103.818,1.3087
"Botanic Garden",2018-05-24,0.4,103.818,1.3087
"Botanic Garden",2018-05-25,5.4,103.818,1.3087
