"Station","Year","YearlyRain","Latitude","Longitude"
"Admiralty",2018,2211.7,1.4439,103.7854
"Admiralty",2019,1969.4,1.4439,103.7854
"Admiralty",2020,2091.4,1.4439,103.7854
"Admiralty",2021,2552,1.4439,103.7854
"Admiralty",2022,3319.1,1.4439,103.7854
"Admiralty",2023,2588.8,1.4439,103.7854
"Admiralty",2024,2875.3,1.4439,103.7854
"Admiralty West",2018,1754.2,1.4582,103.7953
"Admiralty West",2019,2094.8,1.4582,103.7953
"Admiralty West",2020,16.8,1.4582,103.7953
"Ang Mo Kio",2018,2734.6,1.3764,103.8492
"Ang Mo Kio",2019,1656.2,1.3764,103.8492
"Ang Mo Kio",2020,2404.3,1.3764,103.8492
"Ang Mo Kio",2021,3126.6,1.3764,103.8492
"Ang Mo Kio",2022,3208,1.3764,103.8492
"Ang Mo Kio",2023,2890.4,1.3764,103.8492
"Ang Mo Kio",2024,2698.8,1.3764,103.8492
"Botanic Garden",2018,2795.2,1.3087,103.818
"Botanic Garden",2019,1790.6,1.3087,103.818
"Botanic Garden",2021,3152,1.3087,103.818
"Botanic Garden",2022,3258.6,1.3087,103.818
"Botanic Garden",2023,3157.5,1.3087,103.818
"Botanic Garden",2024,578,1.3087,103.818
"Buangkok",2018,2435.4,1.3837,103.886
"Buangkok",2019,187.2,1.3837,103.886
"Bukit Panjang",2018,2687.8,1.3824,103.7603
"Bukit Panjang",2019,1995.4,1.3824,103.7603
"Bukit Panjang",2020,1842.5,1.3824,103.7603
"Bukit Panjang",2021,3695.1,1.3824,103.7603
"Bukit Panjang",2022,3120.1,1.3824,103.7603
"Bukit Panjang",2023,3149,1.3824,103.7603
"Bukit Panjang",2024,3054.2,1.3824,103.7603
"Bukit Timah",2018,2724.2,1.3191,103.8191
"Bukit Timah",2019,1699.2,1.3191,103.8191
"Bukit Timah",2020,2559.8,1.3191,103.8191
"Bukit Timah",2021,3171.8,1.3191,103.8191
"Bukit Timah",2022,3175,1.3191,103.8191
"Bukit Timah",2023,3033.8,1.3191,103.8191
"Bukit Timah",2024,2732,1.3191,103.8191
"Buona Vista",2018,2358.5,1.2841,103.7886
"Buona Vista",2019,1666.1,1.2841,103.7886
"Buona Vista",2020,2676.3,1.2841,103.7886
"Buona Vista",2021,1352.2,1.2841,103.7886
"Buona Vista",2022,2925.7,1.2841,103.7886
"Buona Vista",2023,3102.2,1.2841,103.7886
"Buona Vista",2024,2623.9,1.2841,103.7886
"Chai Chee",2018,1847.5,1.3277,103.9203
"Chai Chee",2019,1602.6,1.3277,103.9203
"Chai Chee",2020,2554.4,1.3277,103.9203
"Chai Chee",2021,2480.6,1.3277,103.9203
"Chai Chee",2022,2293.4,1.3277,103.9203
"Chai Chee",2023,835.8,1.3277,103.9203
"Changi",2018,1708.2,1.3678,103.9826
"Changi",2019,1367.5,1.3678,103.9826
"Changi",2020,1886.6,1.3678,103.9826
"Changi",2021,2809.6,1.3678,103.9826
"Changi",2022,2207.8,1.3678,103.9826
"Changi",2023,2411.2,1.3678,103.9826
"Changi",2024,2432,1.3678,103.9826
"Choa Chu Kang Central",2018,2736,1.3819,103.7386
"Choa Chu Kang Central",2019,2079.5,1.3819,103.7386
"Choa Chu Kang Central",2020,2656.8,1.3819,103.7386
"Choa Chu Kang Central",2021,3246.6,1.3819,103.7386
"Choa Chu Kang Central",2022,3002,1.3819,103.7386
"Choa Chu Kang Central",2023,3096.4,1.3819,103.7386
"Choa Chu Kang Central",2024,2644.2,1.3819,103.7386
"Choa Chu Kang South",2018,2829.2,1.3729,103.7224
"Choa Chu Kang South",2019,2136.7,1.3729,103.7224
"Choa Chu Kang South",2020,2740,1.3729,103.7224
"Choa Chu Kang South",2021,3448.2,1.3729,103.7224
"Choa Chu Kang South",2022,2899.6,1.3729,103.7224
"Choa Chu Kang South",2023,3263.6,1.3729,103.7224
"Choa Chu Kang South",2024,2803.6,1.3729,103.7224
"Choa Chu Kang West",2018,2950.4,1.3746,103.6938
"Choa Chu Kang West",2019,1988,1.3746,103.6938
"Choa Chu Kang West",2020,2866,1.3746,103.6938
"Choa Chu Kang West",2021,2983.6,1.3746,103.6938
"Clementi",2018,2983.1,1.3337,103.7768
"Clementi",2019,1738.9,1.3337,103.7768
"Clementi",2020,2446.7,1.3337,103.7768
"Clementi",2021,3113.4,1.3337,103.7768
"Clementi",2022,3145.7,1.3337,103.7768
"Clementi",2023,3116,1.3337,103.7768
"Dhoby Ghaut",2018,2270.6,1.2994,103.8461
"Dhoby Ghaut",2019,1523.4,1.2994,103.8461
"Dhoby Ghaut",2020,2555.9,1.2994,103.8461
"Dhoby Ghaut",2021,2814,1.2994,103.8461
"Dhoby Ghaut",2022,2624.4,1.2994,103.8461
"Dhoby Ghaut",2023,2686.3,1.2994,103.8461
"Dhoby Ghaut",2024,87.8,1.2994,103.8461
"East Coast Parkway",2018,1333,1.3134,103.9619
"East Coast Parkway",2019,1292.7,1.3134,103.9619
"East Coast Parkway",2020,2077.6,1.3134,103.9619
"East Coast Parkway",2021,2551.6,1.3134,103.9619
"East Coast Parkway",2022,1912.7,1.3134,103.9619
"East Coast Parkway",2023,2106.9,1.3134,103.9619
"East Coast Parkway",2024,2090.4,1.3134,103.9619
"Jurong Island",2018,2482.2,1.2542,103.6741
"Jurong Island",2019,1520,1.2542,103.6741
"Jurong Island",2020,2657.6,1.2542,103.6741
"Jurong Island",2021,2177.8,1.2542,103.6741
"Jurong Island",2022,2639.6,1.2542,103.6741
"Jurong Island",2023,2698.1,1.2542,103.6741
"Jurong Island",2024,2641.2,1.2542,103.6741
"Jurong North",2018,2607.2,1.3505,103.7134
"Jurong Pier",2018,3015.6,1.3081,103.71
"Jurong Pier",2019,2199.7,1.3081,103.71
"Jurong Pier",2020,3216.8,1.3081,103.71
"Jurong Pier",2021,3178,1.3081,103.71
"Jurong Pier",2022,2490.5,1.3081,103.71
"Jurong Pier",2023,3072.6,1.3081,103.71
"Jurong Pier",2024,2999.1,1.3081,103.71
"Jurong West",2018,2829.4,1.3455,103.6806
"Jurong West",2019,2077.9,1.3455,103.6806
"Jurong West",2020,3286.4,1.3455,103.6806
"Jurong West",2021,3213.6,1.3455,103.6806
"Jurong West",2022,3106.4,1.3455,103.6806
"Jurong West",2023,2897.2,1.3455,103.6806
"Jurong West",2024,2932.2,1.3455,103.6806
"Kent Ridge",2018,2542.2,1.2923,103.7815
"Kent Ridge",2019,939,1.2923,103.7815
"Kent Ridge",2020,2683.8,1.2923,103.7815
"Kent Ridge",2021,3221.9,1.2923,103.7815
"Kent Ridge",2022,3265.5,1.2923,103.7815
"Kent Ridge",2023,3152.4,1.2923,103.7815
"Kent Ridge",2024,2713.8,1.2923,103.7815
"Kranji Reservoir",2018,2585,1.4387,103.7363
"Kranji Reservoir",2019,1920.6,1.4387,103.7363
"Kranji Reservoir",2020,2712.8,1.4387,103.7363
"Kranji Reservoir",2021,2904.3,1.4387,103.7363
"Kranji Reservoir",2022,2957.4,1.4387,103.7363
"Kranji Reservoir",2023,2892.3,1.4387,103.7363
"Kranji Reservoir",2024,3264,1.4387,103.7363
"Lim Chu Kang",2018,2651.8,1.4385,103.7013
"Lim Chu Kang",2019,1490.9,1.4385,103.7013
"Lim Chu Kang",2020,2193.2,1.4385,103.7013
"Lim Chu Kang",2021,2858.4,1.4385,103.7013
"Lim Chu Kang",2022,2747.5,1.4385,103.7013
"Lim Chu Kang",2023,2722.7,1.4385,103.7013
"Lim Chu Kang",2024,3009.8,1.4385,103.7013
"Lower Peirce Reservoir",2018,2849.7,1.3701,103.8271
"Lower Peirce Reservoir",2019,2028.8,1.3701,103.8271
"Lower Peirce Reservoir",2020,2514.4,1.3701,103.8271
"Lower Peirce Reservoir",2021,3371.3,1.3701,103.8271
"Lower Peirce Reservoir",2022,3491.8,1.3701,103.8271
"Lower Peirce Reservoir",2023,3151.4,1.3701,103.8271
"Lower Peirce Reservoir",2024,2664.3,1.3701,103.8271
"Macritchie Reservoir",2018,2699.4,1.3417,103.8338
"Macritchie Reservoir",2019,1618.6,1.3417,103.8338
"Macritchie Reservoir",2020,2651.4,1.3417,103.8338
"Macritchie Reservoir",2021,3192.3,1.3417,103.8338
"Macritchie Reservoir",2022,2731.9,1.3417,103.8338
"Macritchie Reservoir",2023,2896.6,1.3417,103.8338
"Macritchie Reservoir",2024,2725.1,1.3417,103.8338
"Mandai",2018,2756.2,1.4036,103.7898
"Mandai",2019,2006,1.4036,103.7898
"Mandai",2020,2539.2,1.4036,103.7898
